categoria,titulo,subtitulo
"Economia","Bruxelas ameaça Portugal com três processos no setor dos Transportes","A Comissao Europeia ameaçou hoje levar a Portugal a tribunal em três processos separados, todos na área dos transportes, por atrasos na aplicaçao da legislaçao comunitária de regras dos transporte rodoviário, ferroviário e aéreo."
"Pais","Detidos quatro suspeitos de roubos a carrinhas de valores, casas e lojas","A Policia Judiciária anunciou hoje a detençao de quatro jovens suspeitos de terem roubado, com recurso a armas de fogo, carrinhas de transporte de valores, casas e lojas de compra e venda de metais precisos, em Gondomar."
"Economia","Passes poderao vir a ter direito a incentivo fiscal","Os passes de transportes publicos poderao vir a receber um incentivo fiscal, adianta o Jornal de Negocios. Esta é uma das propostas da comissao de peritos para a reforma fiscal verde."
"Mundo","Coluna de blindados do exército a 23 km a sul de Donetsk","Um importante grupo de blindados e de tanques do exército ucraniano posicionou-se a cerca de 23 quilometros a sul de Donetsk, a grande cidade do leste controlada por rebeldes pro-russos, constataram jornalistas da agência France Presse."
"Economia","Portugal de novo no Tribunal de Justiça devido a tratamento das águas residuais","A Comissao Europeia anunciou hoje que vai apresentar nova queixa contra Portugal perante o Tribunal de Justiça da Uniao Europeia, por falta de tratamento adequado das águas residuais provenientes de pequenas aglomerações."
"Mundo","Ministro alemao chama estupidos aos serviços secretos dos EUA","O ministro alemao das Finanças, Wolfgang Schauble, chamou estupidos aos serviços secretos dos Estados Unidos por causa dos atos de espionagem num pais aliado, acusando-os de recrutar gente de terceira categoria."
"Economia","Produçao na construçao atenua queda em maio para 11,1%","O indice de produçao na construçao atenuou a queda em maio, ao registar um decréscimo homologo de 11,1%, enquanto os indices de emprego e de remunerações recuaram 6,2% e 5,1%, respetivamente, divulgou hoje o INE."
"Economia","Portugal processado por incumprimento de pagamentos","O Governo português decidiu excluir o setor da Saude das diretivas comunitárias e por isso, irá receber em setembro uma notificaçao respetiva a um processo por parte da Comissao Europeia. Em causa estao pagamentos em atraso, revela o jornal i."
"Pais","Médicas que se depilaram à custa da ADSE devem ser absolvidas","As médicas, enfermeiras e outras funcionárias do Hospital de S. Joao, no Porto, acusadas de falsificaçao de documentos para tratamentos dermatologicos que depois foram reembolsados pela ADSE, poderao ser absolvidas. De acordo com a procuradora poderao ter agido sem consciência, conta o Jornal de Noticias."
"empresas","Emprego na construçao atenuou quedas em Maio ","A produçao do sector da construçao continuou a cair, em Maio face ao mesmo mês do ano passado, mas a um mais moderado. O emprego aumentou mas as remunerações baixaram."
"mercados","Baupost reforça participaçao no BES para mais de 2%","Fundo de investimento elevou, no dia 3 de Julho, para mais de 127 milhões o numero de acções que detém do BES, o que resulta numa participaçao superior a 2% do capital social do banco."
"mercados","BES afunda mais de 15% para minimos de Setembro de 2013","As acções do Banco Espirito Santo (BES) continuam a afundar na bolsa, registando uma descida superior a 15% e negociando em minimos de Setembro de 2013. A ESFG decidiu suspender a negociaçao das suas acções devido às dificuldades materiais que estao a ser detectadas no seu maior accionista, o Espirito Santo Internacional."
"mercados","Falta de visibilidade quanto à reestruturaçao do grupo leva BPI a colocar BES sob revisao","O BPI colocou a avaliaçao do Banco Espirito Santo (BES) sob revisao por considerar que nao existe visibilidade quanto ao plano de reestruturaçao do Grupo Espirito Santo (GES)."
"economia","Portugal foi o pais da Europa em que nasceram menos bebés em 2013","No ano passado nasceram em Portugal 7,9 crianças por cada mil habitantes. É a marca mais baixa de toda a Uniao Europeia e de um conjunto de outros oito paises."
"mercados","PSI-20 perde mais de 4% na maior queda desde Julho de 2013","Há um ano que a bolsa nacional nao registava uma queda tao acentuada. Todas as cotadas seguem em terreno negativo, muitas com perdas superiores a 3%. Em destaque continua o BES, que já desvaloriza quase 15%. "
"local","Ministério Publico pede condenaçao dos arguidos no caso Bragaparques","O caso Bragaparques está em julgamento pela terceira vez."
"Pais","Subconcessao dos estaleiros  so é positiva para o ministro","O presidente da Câmara de Viana do Castelo afirmou hoje que o balanço de seis meses de subconcessao dos Estaleiros Navais de Viana do Castelo (ENVC) à Martifer so é muito positivo para o ministro da Defesa."
"Mundo","Funcionário bate com Lamborghini e causa prejuizo de 245 mil","Um funcionário de um hotel de cinco estrelas de Nova Deli, na india, causou hoje prejuizos de cerca de 245,000 euros depois de bater com um Lamborghini Gallardo de um cliente numa parede, informou o hotel."
"Economia","PS suspeita de aumento de impostos na reforma de fiscalidade verde","O PS requereu hoje, com caráter de urgência, a presença no parlamento do presidente da Comissao para a Reforma da Fiscalidade Verde, Jorge Vasconcelos, considerando que o conjunto de propostas aponta para um aumento de impostos."
"Pais","PJ deteve três suspeitos de crimes de roubo e extorsao","A Policia Judiciária anunciou hoje a detençao de dois homens e uma mulher suspeitos de ter praticado crimes de roubo e extorsao agravados, através de empréstimos com uma cobrança excessiva de juros, efetuados em fevereiro."
"Economia","Regiao Centro registou os piores resultados de hotelaria no pais","O presidente da Associaçao da Hotelaria de Portugal, Luis Veiga, afirmou hoje em Coimbra que a regiao Centro teve a pior performance no pais nos primeiros quatro meses do ano, com a taxa de ocupaçao hoteleira nos 28%."
"Portugal","Bruxelas insta Portugal a adaptar regras da UE sobre receitas médicas ","A diretiva em causa tem por objetivo aumentar a capacidade de os farmacêuticos compreenderem e aviarem as receitas emitidas noutro pais da UE aos doentes que exerçam o direito à prestaçao de cuidados de saude transfronteiriços"
"Dinheiro","Bruxelas leva Portugal a tribunal devido a regras do imposto sobre tabaco","A legislaçao da Uniao Europeia nao prevê a limitaçao da distribuiçao dos produtos de tabaco por motivos fiscais"
"Dinheiro","Exportações caem 3,3% e importações diminuem 0,8% de Março a Maio","Já a taxa de cobertura recuou para 83,8%, revelou ainda o Instituto Nacional de Estatistica (INE)"
"Dinheiro","Consumidores podem vir a ser penalizados pela reforma da fiscalidade verde ","Receita fiscal deverá rondar os 200 milhões de euros no primeiro ano, que poderao nao ser compensados na reduçao de outros impostos "
"Dinheiro","Produçao na construçao atenua queda em Maio para 11,1% ","Em abril, o indice de produçao na construçao tinha recuado, em termos homologos, 11,5%, enquanto os indices de emprego e de remunerações tinha diminuido 7,4% e 4,5%, respetivamente"
"Desporto","O FC Porto tem sido uma surpresa muito boa, diz oliver Torres ","O futebolista esclareceu que o seu compatriota Julen Lopetegui é um grande treinador"
"Economia/Politica","Inflaçao mantém-se em terreno negativo há cinco meses","A taxa de inflaçao portuguesa situou-se em -0,4% em Junho, mantendo-se em valores negativos pelo quinto mês seguido."
"Economia/Politica","Exportações travam no trimestre terminado em Maio","As exportações de bens cairam 3,3% no trimestre terminado em Maio, reforçando a quebra anterior, de 0,9%, registada nos três meses terminados em Abril."
"Empresas/Finanças","Espanhol Liberbank com exposiçao de 2,7 milhões ao ESFG","O banco espanhol Liberbank anunciou hoje que detém uma participaçao de 1,92 milhões de acções no Espirito Santo Financial Group, principal accionista do BES."
"Empresas/Finanças","Hedge-Fund milionário aumenta posiçao no BES para 2,27%","Grupo Baupost tem por filosofia investir em titulos subvalorizados."
"Empresas/Finanças","Google lança capital de risco na Europa","Multinacional norte-americana tem 100 milhões de dolares para investir em start-ups europeias."
"Pais","Portugal de novo no Tribunal de Justiça devido a tratamento das águas residuais","A Comissao Europeia anunciou hoje que vai  apresentar nova queixa contra Portugal perante o Tribunal de Justiça da  Uniao Europeia, por falta de tratamento adequado das águas residuais provenientes  de pequenas aglomerações."
"Mundo","Prostituta de luxo acusada de homicidio de executivo da Google na California","Um tribunal superior em Santa Cruz, EUA, acusou hoje uma prostituta de luxo pela morte de um executivo da Google, com uma dose letal de heroina, e de fugir do seu iate na California."
"Mundo","Luanda volta a ser a cidade mais cara do mundo, Lisboa em 94º lugar","A capital angolana é a cidade mais cara do  mundo, pelo segundo ano consecutivo, de acordo com um estudo global sobre  o custo de vida em 2014, elaborado pela consultora Mercer, que é dominado  por cidades africanas, europeias e asiáticas."
"Mundo","Ministro das Finanças alemao chamou estupidos aos serviços secretos dos EUA","O ministro alemao das Finanças, Wolfgang Schauble, chamou estupidos aos serviços secretos dos Estados Unidos por causa dos atos de espionagem num pais aliado, acusando-os de recrutar gente de terceira categoria."
"Pais","Ministério Publico pede 5 anos de prisao para Carmona e Fontao","O Ministério Publico pediu hoje a condenaçao a 5 anos de Carmona Rodrigues e Fontao de Carvalho e a 4 anos para Eduarda Napoleao e Remédio Pires, no caso Bragaparques. Em alternativa, propõe penas suspensas se os arguidos entregarem ao municipio valores que ascendem a 4,25 milhões de euros - 1,5 milhões no caso de Carmona Rodrigues."
"Mundo","Aplicaçao alerta israelitas para ataques de misseis","Uma aplicaçao para telemovel alerta os israelitas sobre ataques com misseis e rockets disparados de Gaza para Israel em tempo real."
"Sociedade","Portugal teve a taxa de natalidade mais baixa da UE em 2013","Portugal registou no ano passado a taxa de natalidade mais baixa da Uniao Europeia, de 7,9 crianças por mil habitantes, inferior à de mortalidade (10,2), contrariando o aumento da populaçao na Europa, revelam dados publicados, esta quinta-feira, pelo Eurostat."
"Mundo","Ministro alemao chama estupidos aos espiões dos EUA","O ministro alemao das Finanças, Wolfgang Schauble, chamou estupidos aos serviços secretos dos Estados Unidos por causa dos atos de espionagem num pais aliado, acusando-os de recrutar gente de terceira categoria."
"Mundo","Desmantelada rede que obrigava brasileiras a prostituir-se em Espanha","Oito pessoas foram detidas durante uma operaçao da Policia Nacional espanhola, que desarticulou uma rede que obrigava mulheres brasileiras a prostituir-se nas regiões de Barcelona, Ibiza e Las Palmas."
"ultimas","Funcionário de hotel bate com Lamborghini e causa 245 mil euros de prejuizo",?
"ultimas","PS suspeita de aumento de impostos na proposta de reforma de fiscalidade verde",?
"ultimas","O FC Porto tem sido uma surpresa muito boa - oliver Torres",?
"ultimas","Tiago Pires relegado para a repescagem em Jeffreys Bay",?
"ultimas","Outeiro, em Bragança, é a primeira aldeia portuguesa com uma basilica",?
"ultimas","Exportações caem 3,3% e importações diminuem 0,8% de março a maio - INE",?
"ultimas","Bruxelas ameaça Portugal com três processos judiciais no setor dos Transportes",?
"ultimas","Bruxelas insta Portugal a adaptar regras da UE sobre receitas médicas",?
"ultimas","Sporting Clube de Paris recebe hoje troféu de campeao de França de futsal",?
"Portugal","A minha prisao dava um livro","Alguns episodios que o ex-autarca Isaltino Morais, agora em liberdade condicional, viveu no cárcere e que podem vir a ser contados, pormenorizadamente, em livro"
"ultimas","Português José Semedo prolonga contrato com Sheffield Wednesday",?
"ultimas","Tour: Froome vai apostar na Volta a Espanha em bicicleta",?
"ultimas","Produçao na construçao atenua queda em maio para 11,1% - INE",?
"ultimas","Focada apenas no K1, Teresa Portela quer brilhar nos Europeus de canoagem",?
"economia","Combustiveis provocam nova queda das exportações em Maio","Primeira metade do ano negativa para o saldo comercial português: exportações em queda, importações continuam a subir."
"local","Freguesia da ilha de Sao Miguel oferece pao e chá para atrair visitantes","Haverá cerca de três mil papos-secos para distribuir."
"local","Lagoa de Albufeira é hoje reaberta ao mar","Este ano é já a terceira vez que a autarquia procede à reabertura da ligaçao ao mar."
"culturaipsilon","O estrangulamento das almas","A reunificaçao das duas Coreias marca o regresso do encenador Joel Pommerat ao Festival de Almada. Teatro ácido, de confronto sem retorica, foi eleita melhor peça do ano pelo sindicato da critica francesa. Esta quinta e sexta-feira no Teatro Municipal Joaquim Benite."
"local","Museu do Chiado celebra este sábado vinte anos da reabertura apos incêndio do Chiado","No sábado, contam-se precisamente vinte anos desde a reabertura do museu depois das obras realizadas em 1994."
"local","Base Aérea de Monte Real abre ao publico para comemorar os 20 anos dos F-16",?
"Economia","Ações do BES (novamente) suspensas","As ações do Banco Espirito Santo (BES) acabam de ser suspensas pela Comissao do Mercado de Valores Mobiliários (CMVM), depois de quedas superiores a 16%."
"Mundo","Funcionário de hotel bate com bomba de cliente numa parede","Um funcionário de um hotel de cinco estrelas de Nova Deli, na india, causou hoje prejuizos de cerca de 245 mil euros depois de bater com um Lamborghini Gallardo de um cliente numa parede, informou o hotel."
"Economia","Supermercados já pagaram 11,8 milhões da taxa alimentar","Embora estejam contra a taxa de segurança alimentar, os hiper e supermecados já pagaram 73% dos 16,142 milhões que o Estado estimava arrecadar, refere o jornal Publico."
"Politica","PS suspeita de aumento de impostos em reforma verde","O PS requereu hoje, com caráter de urgência, a presença no parlamento do presidente da Comissao para a Reforma da Fiscalidade Verde, Jorge Vasconcelos, considerando que o conjunto de propostas aponta para um aumento de impostos."
"Desporto","Estou muito feliz","Avançado assina hoje pelos colchoneros e diz-se pronto para o novo desafio"
"Cultura","Primavera Sound regressa a 4 e 6 de junho do proximo ano","O Primavera Sound vai regressar ao Parque da Cidade, no Porto, entre os dias 04 e 06 de junho de 2015, anunciou hoje a organizaçao do festival."
"Fama","Paris Hilton diz que o amor é mágico","A cantora de Come Alive revelou que pode estar apaixonada, porém insiste timidamente que o seu novo single é simplesmente sobre um amor de verao."
"Economia","PS adverte que nao há consolidaçao do equilibrio da balança de transações","O PS advertiu hoje que os mais recentes indicadores economicos traduzem a ausência de qualquer consolidaçao em termos de equilibrio na balança de transações, verificando-se antes um aumento das importações e uma quebra das exportações."
"Pais","Évora e Beja sob aviso amarelo devido ao calor intenso","O Instituto Português do Mar e da Atmosfera (IPMA) colocou hoje sob aviso amarelo os distritos de Évora e Beja devido ao tempo quente e à persistência de valores elevados da temperatura máxima."
"Mundo","Holanda quer negociar com Angola facilitaçao de vistos","A Ministra do Comércio Internacional da Holanda transmitiu em Angola a disponibilidade daquele governo para estudar a facilitaçao de vistos para empresários, uma das medidas que visa o reforço das ligações economicas entre os dois paises."
"Economia","Preços caem 0,4% em junho face ao periodo homologo","Os preços cairam 0,4% em junho face ao periodo homologo, a mesma reduçao verificada em maio, enquanto em termos mensais houve uma subida de 0,1%, anunciou o INE."
"tecnologia","Bell Labs batem recorde de velocidade de Internet com cabos comuns","A fibra optica é rápida e é cada vez mais utilizada. Mas é cara. A soluçao pode estar ao virar da esquina."
"politica","PS suspeita de aumento de impostos com a reforma de fiscalidade verde","Deputado socialista Mota Andrade adiantou que, numa segunda fase, os socialistas pretendem ouvir no Parlamento o ministro do Ambiente, Jorge Moreira da Silva."
"local","Homem e mulher encontrados mortos a tiro no Seixal",?
"economia","Incentivos ao abate de carros potenciam receita adicional de 80 milhões","A Associaçao Automovel de Portugal calcula ganho liquido para o Estado, em 2015, caso o Governo adopte a proposta da comissao de reforma fiscal verde."
"economia","Mercados internacionais nervosos com a situaçao no BES","Juros da divida publica portuguesa a 10 anos aproximam-se dos 4%."
"sociedade","Estranhas formas de amar os filhos...",?
"mundo","Forças ucranianas têm quase concluido bloqueio às cidades rebeldes","Exército toma posiçao perto de Donetsk mas ataque nao parece iminente. Hollande e Merkel apelam a Putin para pressionar separatistas a negociarem efectivamente."
"economia","Quercus considera medidas de fiscalidade verde positivas","Associaçao defende que o Governo terá que ter prudência na aplicaçao das medidas, devido ao contexto de dificuldades economicas que o pais atravessa."
"sociedade","Portugal já é o pais da Uniao Europeia onde nascem menos bebés","Estimativas demográficas do Eurostat divulgadas esta quinta-feira mostram que Portugal registou em 2013 a mais baixa taxa bruta de natalidade entre os 28 estados-membros"
"culturaipsilon","Mais limpa e mais completa, a Vitoria de Samotrácia volta a estar exposta no Louvre","Restauro custou quatro milhões de euros, um dos quais foi conseguido numa campanha de crowdfunding."
"Mundial 2014","É altamente improvável que Papas vejam a final juntos","O porta-voz do Vaticano disse hoje à AFP que será altamente improvável que o papa Francisco veja a final do Mundial2014 de futebol na companhia do papa emérito Bento XVI."
"Politica","Eurodeputado português dá raspanete a Juncker","O eurodeputado do PCP, Joao Ferreira, nao gostou da indiferença de Jean Claude Juncker, candidato a presidente da Comissao Europeia, quando intervinha num debate no Parlamento Europeu. O comunista parou de falar para que Juncker pudesse continuar a escrever o seu SMS. Uma chamada de atençao que nao agradou ao luxemburguês."
"Fama","Sharon Stone livre para namorar","A atriz Sharon Stone revelou à US Magazine que está preparada para voltar a namorar."
"Economia","Crise no GES já é problema sistémico","O economista Francisco Louça disse hoje que a crise no Grupo Espirito Santo (GES) já é um problema sistémico e reforçou a necessidade de reestruturar a divida para travar o aumento do endividamento."
"Desporto","Markovic so tem de mudar de atitude nos treinos","Antigo médio do Benfica elogia o sérvio, sublinhando que o jogador precisa de amadurecer para se tornar imparável"
"Tech","Casinos podem ir a tribunal por causa de nova lei do jogo online","A Associaçao Portuguesa de Casinos (APC) critica a nova lei do jogo online proposto pelo Governo, chegando mesmo a afirmar que poderao voltar a tribunal para pedir uma indemnizaçao por estas representarem uma violaçao ao regime das atuais concessões dos casinos, avança o jornal Publico."
"Mundo","Homem mata quatro filhos menores em discussao","Um homem baleou mortalmente quatro filhos, no Texas, EUA, durante uma discussao doméstica, conta a imprensa internacional. Dois adultos foram atingidos e acabaram também por morrer."
"Pais","Campanha solidária nao evita morte provocada por cancro","O jovem Diogo Soares, de 16 anos, que muitos portugueses apoiaram numa campanha solidária, perdeu hoje a batalha contra o cancro, conta o Diário de Noticias."
"Economia","ESI avalia insolvência que pode afastar familia Espirito Santo","A Espirito Santo International, no Luxemburgo, está a ponderar avançar com um pedido de insolvência com proteçao judicial. Embora seja uma salvaguarda, este pode também afastar a familia Espirito Santo da administraçao do grupo, destaca o Diário Economico."
"Pais","Ex-diretor da Cultura da Câmara de Lisboa e mais dois arguidos absolvidos","O Tribunal absolveu hoje o ex-diretor da Cultura da autarquia de Lisboa Rui Mateus Pereira e mais dois arguidos, nao dando como provados os factos da acusaçao."
"Economia","Governo aprova linha de crédito de 20 milhões para empresas das pescas","O Conselho de Ministros aprovou hoje a criaçao de uma linha de crédito de 20 milhões de euros para apoiar as empresas do setor das pescas do Continente afetadas pelo mau tempo nos ultimos meses."
"Pais","Numero de alunos portugueses em Erasmus subiu 9%","Mais de 7.000 estudantes de Portugal beneficiaram no ano letivo de 2012-2013 de bolsas da Uniao Europeia para estudar no estrangeiro, o que representou um aumento de 9% face ao ano letivo anterior, segundo dados hoje divulgados."
"Pais","Fogo florestal no Sabugal dado como dominado às 14h06","O incêndio florestal que lavra hoje em Ribeiro da Serra da Presa, Casteleiro, no concelho do Sabugal, foi dominado pelos bombeiros às 14:06, segundo a página eletronica da Autoridade Nacional de Proteçao Civil (ANPC)."
"Economia","Incentivo ao abate vai permitir retirar de circulaçao milhares de carros velhos","A Associaçao Automovel de Portugal (ACAP) considerou hoje positiva a retoma do incentivo ao abate dos veiculos em fim de vida, proposta na reforma da fiscalidade verde, afirmando que vai retirar de circulaçao milhares de veiculos velhos."
"Economia","Governo promete quase 30 mil casas publicas para 1.ª fase de novos aterros","A primeira zona dos novos aterros de Macau vai ter 32 mil frações de habitaçao, mais de 80 por cento das quais destinadas à habitaçao publica, anunciou hoje o Governo."
"Mundo","Os melhores remakes de fotos de infância","Na era do digital talvez já nao haja tanto o hábito de folhear álbuns de fotografias do tempo da nossa infância. Mas a era do digital trouxe uma nova ‘moda’, bastante divertida: imitar a as melhores fotos da nossa infância."
"Pais","Novas regras para o crédito à habitaçao sao insuficientes","A Associaçao de Defesa dos Consumidores afirmou que as novas regras para o crédito à habitaçao sao insuficientes e que aqueles que estao em situaçao de desemprego ou de reduçao significativa do rendimento do agregado familiar deveriam ser os requisitos para se poder beneficiar de uma reestruturaçao do crédito, explicou coordenadora do Gabinete de Apoio ao Sobre-endividado (GAS) da Deco, Natália Nunes, na antena da Rádio Renascença."
"Pais","Homem e mulher encontrados mortos a tiro no Seixal","Um homem e uma mulher, com idades entre os 40 e os 50 anos, foram encontrados mortos a tiro em Belverde, no Seixal, disse à agência Lusa fonte policial."
"Economia","Liberbank com exposiçao de 2,7milhões no ESFG","O Liberbank informou hoje o regulador da bolsa espanhola de que a sua exposiçao no Espirito Santo Financial Group (ESFG) se limita a 2,7 milhões de euros, correspondentes a 0,93% do capital da entidade."
"Mundo","Iraque avisa ONU que jihadistas controlam material nuclear","O Iraque comunicou à ONU que os jihadistas que controlam Mossul se apoderaram de material nuclear utilizado em investigaçao na universidade daquela cidade do norte do pais, cerca de 40 quilos de compostos de urânio."
"Economia","Governo investe um milhao de euros para estabilizar arribas","O Governo aprovou um investimento de um milhao de euros para a estabilizaçao das arribas da praia da Nazaré, onde reconhece haver elevado risco de derrocada."
"Mundo","França e Alemanha pedem à Russia para pressionar separatistas","O Presidente da França, François Hollande e a chanceler alema, Angela Merkel, voltaram a pedir ao presidente russo para pressionar os separatistas ucranianos a negociar, informou hoje o gabinete do chefe de Estado francês."
"Economia","Negocios nos serviços com subida homologa de 0,2% em maio","Os negocios no setor dos serviços registaram uma subida de 0,2% face ao mesmo mês do ano anterior, informa o INE, que atribui esta ligeira melhoria ao comércio por grosso, manutençao e reparaçao de veiculos."
"Pais","Angola espera apoio de Portugal para criaçao de escola de tecnologias navais","A Marinha portuguesa deverá apoiar Angola na criaçao de uma escola de tecnologias navais para sargentos e praças, disse hoje o comandante da Marinha de Guerra angolana, almirante Augusto da Silva Cunha Gugu."
"Economia","Atenas regressa aos mercados e coloca 1.500 milhões a três anos","A Grécia colocou hoje 1.500 milhões de euros em titulos a três anos a 3,5%, na segunda ida aos mercados internacionais depois de quatro anos de ausência, informou o Ministério das Finanças grego."
"economia","David Beckham está entre os 33.000 britânicos com regras mais apertadas para nao fugirem ao fisco","O Governo britânico espera que as novas regras fiscais, entre elas o pagamento adiantado em caso de litigio, possam reduzir a fuga aos impostos naquele territorio."
"mercados","Impacto da crise do GES em grande destaque na imprensa economica internacional","Bloomberg, Financial Times, Reuters, Wall Street Journal. A crise no Grupo Espirito Santo e o impacto que está a ter na bolsa portuguesa e restantes praças financeiras mundiais é o principal destaque nestes meios de comunicaçao internacionais especializados em economia."
"empresas","Tribunal Europeu rejeita recurso da Telefonica e mantém coima por abuso de posiçao","A operadora espanhola falhou o recurso que havia interposto, relativo a uma acçao avançada por Bruxelas, por abuso de posiçao dominante no mercado da Internet de banda larga."
"empresas","Unilever Jeronimo Martins investe 30 milhões para crescer lá fora","Parceria industrial prevê aumentar exportações para 50% com novas linhas de produçao, a inaugurar esta sexta-feira, dia 11 de Julho. "
"local","Degradaçao de viaduto em Lisboa preocupa junta e moradores","Junta da Estrela queixa-se de estar de maos atadas. Câmara de Lisboa diz que está a tratar dos procedimentos necessários para a obra."
"Mundo","Mais de um milhao de funcionários publicos em greve contra cortes","Mais de um milhao de funcionários publicos britânicos realiza hoje uma greve de 24 horas contra o congelamento dos salários, segundo as centrais sindicais."
"Cultura","Teatro debaixo da lua cheia em aldeias de Vila Real","A Peripécia Teatro está a desenvolver a iniciativa Lua Cheia, Arte na Aldeia, promovendo espetáculos nas ruas de aldeias de Vila Real, em noites de lua cheia, e convidando os espetadores a levar a sua propria cadeira."
"Pais","Cursos de verao da Universidade do Algarve atraem jovens de todo o pais","Os 22 cursos de verao promovidos pela Universidade do Algarve (Ualg) nas ultimas duas semanas atrairam 150 alunos de todo o pais em idade pré-universitária, que quiseram experimentar o ambiente académico e encontrar pistas sobre cursos a seguir."
"Desporto","RTA rejeita falta de empenho e quer Rali de Portugal novamente no Algarve","A realizaçao do Rali de Portugal de 2015 no norte foi uma deceçao, admitiu hoje o presidente do Turismo do Algarve (RTA), rejeitando criticas de falta de empenho e garantindo que quer a prova em 2016."
"Pais","Novas regras para crédito à habitaçao sao insuficientes","A Associaçao de Defesa dos Consumidores afirmou que as novas regras para o crédito à habitaçao sao insuficientes e que aqueles que estao em situaçao de desemprego ou de reduçao significativa do rendimento do agregado familiar deveriam ser os requisitos para se poder beneficiar de uma reestruturaçao do crédito, explicou coordenadora do Gabinete de Apoio ao Sobre-endividado (GAS) da Deco, Natália Nunes, na antena da Rádio Renascença."
"Pais","Campanha solidária nao evita morte de Diogo","O jovem Diogo Soares, de 16 anos, que muitos portugueses apoiaram numa campanha solidária, perdeu hoje a batalha contra o cancro, conta o Diário de Noticias."
"Mundo","Melhores remakes de fotos de infância","Na era do digital talvez já nao haja tanto o hábito de folhear álbuns de fotografias do tempo da nossa infância. Mas a era do digital trouxe uma nova ‘moda’, bastante divertida: imitar a as melhores fotos da nossa infância."
"economia","Menos norte-americanos recorreram ao subsidio de desemprego","O mercado laboral dos Estados Unidos continua a dar sinais positivos. Depois de a taxa de desemprego ter caido de 6,3% para 6,1% em Junho, os pedidos de subsidio de desemprego cairam em 11 mil na primeira semana do mês de Julho."
"empresas","Teleperformance vai abrir sétimo centro em Portugal e criar mais 1.400 postos de trabalho","A localizaçao do novo centro ainda está em fase final de decisao, mas a empresa espera que as operações de investimento comecem já no final de Outubro. "
"mercados","Wall Street em queda pressionada pelo sector financeiro português","Depois de uma sessao em que as principais praças norte-americanas voltaram a registar ganhos, no inicio da sessao desta quinta-feira Wall Sreet está a ser penalizada, segundo a Bloomberg, pela crise de confiança em torno do BES que também já provocou uma forte subida dos juros da divida nacional."
"opiniao","Do arrastao à hecatombe, que é preciso evitar no BES  ","Um comentário rápido sobre o caso GES."
"empresas","Amazon ofereceu retorno de 100% dos lucros aos autores da Hachette","De acordo com o The New York Times, David Naggar da Amazon terá tentado resolver o impasse entre as duas empresas, mas sem sucesso."
"empresas","Bruxelas pressiona Portugal a avançar na melhoria do Espaço unico Europeu","A Comissao Europeia defende que esta é a fase decisiva para os Estados membros tomarem uma acçao na gestao do Espaço unico Europeu."
"Portugal","Bragaparques. MP pede condenaçao de todos os arguidos e impõe pagamento de mais de 4 milhões","O processo remonta a 2005, quando a Assembleia Municipal de Lisboa aprovou por maioria, com excepçao da CDU, a permuta dos terrenos do Parque Mayer "
"Portugal","Dois incêndios activos às 13h nos distritos de Viseu e Guarda","No combate às chamas estao 50 bombeiros, apoiados por 13 veiculos e um helicoptero bombardeiro pesado"
"Portugal","Arbitragem comercial com mais de 2 mil milhões de euros de processos em curso","Foram analisados cerca de 200 processos, desde 1990 até 2013, mas nos primeiros 10 anos de atividade do CAC o volume de processos a dar entrada era reduzido devido ao desconhecimento existente"
"Portugal","SNS. Hospitais fecharam 420 camas no ultimo ano ","S. Joao e centros hospitalares de Coimbra e Lisboa Central sao os que têm fechado mais camas. Há taxas de ocupaçao que superam 95%"
"Portugal","PS suspeita de aumento de impostos na proposta de reforma de fiscalidade verde ","Mota Andrade adiantou que, numa segunda fase, os socialistas pretendem ouvir no parlamento o proprio ministro do Ambiente, Jorge Moreira da Silva, sobre a proposta de reforma da fiscalidade verde"
"Dinheiro","Louça. Crise no GES “já é problema sistémico” e pressiona à reestruturaçao da divida ","Os quatro economistas propõem uma reestruturaçao da divida publica que mantém o valor facial da divida e inclui o alongamento dos prazos, entre 30 e 39 anos, assim como a reduçao da taxa de juro para 1%"
"Dinheiro","BES. Fundo de investimento Baupost aumenta participaçao no banco para mais de 2%","Esta participaçao está dividida entre vários fundos geridos pelo grupo"
"Dinheiro","Juros da divida de Portugal acentuam subida em todos os prazos a meio da manha","No prazo a cinco anos, os juros estavam a subir para 2,703%, acima dos 2,5% pela primeira vez desde 09 de junho"
"Mundo","Funcionário de hotel bate com Lamborghini e causa 245 mil euros de prejuizo","O funcionário foi levado para o hospital para efetuar tratamentos a ferimentos na cabeça mas saiu no mesmo dia"
"Dinheiro","ACAP. Incentivo ao abate dos veiculos vai permitir retirar de circulaçao milhares de carros velhos","Esta é uma das medidas previstas no anteprojeto que a Comissao para a Reforma da Fiscalidade Verde entregou ao Governo e que apresenta também várias propostas de promoçao de veiculos eléctricos"
"Mais","Festival Primavera Sound regressa ao Porto entre 4 e 6 de Junho de 2015 ","Este ano, pessoas de mais de 40 nacionalidades diferentes passaram pelos relvados à beira-mar, onde se realizaram os espetáculos"
"Dinheiro","CMVM suspende acções do BES","A decisao do conselho diretivo da CMVM foi feita em comunicado e segue-se à decisao desta manha do Espirito Santo Financial Group (ESFG) de suspender a negociaçao de ações e obrigações da empresa"
